"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"17578","60107","2018",14,13,1,92.8571428571429,7.14285714285714,201209,2307.35714285714,91.9285714285714
"17579","60109","2018",3,3,0,100,0,132333.333333333,1833.33333333333,86
"17580","60112","2018",5,5,0,100,0,157344,1978.4,93.4
"17581","60115","2018",7,7,0,100,0,151214.285714286,1702.57142857143,91.7142857142857
"17582","60116","2018",21,21,0,100,0,156499.714285714,2051,78.4761904761905
"17583","60117","2018",2,2,0,100,0,157500,1280,122
"17584","60119","2018",13,12,1,92.3076923076923,7.69230769230769,146115.384615385,1763.92307692308,87.4615384615385
"17585","60120","2018",11,11,0,100,0,190318.181818182,2185.54545454545,91.7272727272727
"17586","60122","2018",3,3,0,100,0,86666.6666666667,894.333333333333,93
"17587","60123","2018",2,2,0,100,0,112000,999,112.5
"17588","60125","2018",3,3,0,100,0,176000,1810,107
"17589","60126","2018",3,3,0,100,0,194333.333333333,1827.66666666667,109.333333333333
"17590","60128","2018",1,1,0,100,0,260000,1294,201
"17591","60129","2018",10,10,0,100,0,143250,1665.1,84
"17592","60130","2018",10,10,0,100,0,174200,2194.6,81.4
"17593","60131","2018",1,1,0,100,0,130000,1215,107
"17594","60132","2018",1,1,0,100,0,69000,552,125
"17595","60133","2018",1,1,0,100,0,145000,2417,60
"17596","60134","2018",13,13,0,100,0,207307.692307692,2186.30769230769,96
"17597","60135","2018",10,10,0,100,0,203564,2078.9,103.3
"17598","60136","2018",4,4,0,100,0,158805,1463,108.25
"17599","60137","2018",2,2,0,100,0,261000,1463,205.5
"17600","60138","2018",5,4,1,80,20,352300,3502.6,93.8
"17601","60139","2018",67,38,29,56.7164179104478,43.2835820895522,196180.298507463,2929.23880597015,69.9850746268657
"17602","60140","2018",5,5,0,100,0,203000,3045,69.8
"17603","60141","2018",86,9,77,10.4651162790698,89.5348837209302,253629.348837209,3631.56976744186,69.4418604651163
"17604","60142","2018",27,20,7,74.0740740740741,25.9259259259259,270320.925925926,2991.37037037037,94.3703703703704
"17605","60143","2018",20,15,5,75,25,158270,2261.4,74.25
"17606","60145","2018",9,9,0,100,0,176000,1830.22222222222,98.2222222222222
"17607","60146","2018",2,2,0,100,0,94500,1384.5,67
"17608","60147","2018",4,4,0,100,0,238250,1599.25,150.25
