,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
339,,ATMO,,0,FR38011,ZAR VOLCAN,2018-11-07 23:00:00,2018,11,,4
340,,ATMO,,0,FR19002,ZAG RENNES,2018-10-31 23:00:00,2018,10,,4
341,,ATMO,,0,FR15018,ZAG GRENOBLE,2018-10-19 23:00:00,2018,10,,4
342,,ATMO,,0,FR03006,ZAG MARSEILLE-AIX,2018-11-02 23:00:00,2018,11,,4
343,,ATMO,,0,FR01011,ZAG METZ,2018-11-07 10:00:00,2018,11,,4
344,,ATMO,,0,FR37001,ZAG POINTE-A-PITRE,2018-11-01 23:00:00,2018,11,,4
345,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-06 23:00:00,2018,11,,4
346,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-07 23:00:00,2018,11,,4
347,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-07 23:00:00,2018,11,,4
348,,ATMO,,0,FR31001,ZAG BORDEAUX,2018-10-25 23:00:00,2018,10,,4
349,,ATMO,,1,FR15031,ZR PROVENCE-ALPES-COTE-D-AZUR,2018-09-04 23:00:00,2018,9,,3
350,,ATMO,,0,FR03006,ZAG MARSEILLE-AIX,2018-10-11 23:00:00,2018,10,,4
351,,ATMO,,0,FR26005,ZAR DIJON,2018-10-31 23:00:00,2018,10,,4
352,,ATMO,,0,FR32001,ZAR CHALON,2018-11-05 23:00:00,2018,11,,4
353,,ATMO,,0,FR32001,ZAR CHALON,2018-11-08 23:00:00,2018,11,,4
354,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-24 23:00:00,2018,10,,4
355,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-08 23:00:00,2018,11,,4
356,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-09 23:00:00,2018,11,,4
357,,ATMO,,0,FR20013,ZAG LYON,2018-11-07 23:00:00,2018,11,,4
358,,ATMO,,0,FR40006,ZR GUYANE,2018-11-09 23:00:00,2018,11,,4
359,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-09 07:00:00,2018,11,,4
360,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-09 23:00:00,2018,11,,4
361,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-09 23:00:00,2018,11,,4
362,,ATMO,,0,FR04002,ZAG PARIS,2018-11-01 23:00:00,2018,11,,4
363,,ATMO,,0,FR36002,ZAR VALLEE-DU-RHONE,2018-11-10 23:00:00,2018,11,,4
